"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32"
"15","isiahthomas","","","dumars","","","players","back","back","","","teams","plus","","","finals","speaks","self","silent","assassin","quiet","","players","defensively","held","enough","help","beat","michael","jordan","bulls",""
"16","rings","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17","beardisgoat","","","","like","","","","team","","players","","make","finals","nets","heavy","favorites","league","everyone","knows","overpowered","","","","giannis","","beat","","","player","shocker",""
"18","dpoy","dpoy","","fmvp","fmvp","takes","lowest","seeded","team","","ever","","","title","peak","underrated","","","","","","","","","","","","","","","",""
"19","damanr","years","","","scoring","","rings","","fmvps","","swept","number","seed","trying","defend","","dirk","bean’s","lucky","make","anybody’s","","","alone","number","","","","","","",""
"20","nbatopshot","","","never","","type","things","luck","expired","like","years","","instead","tell","","rare","year","jokic","like","last","year","giannis","","","","","","","","","",""
"21","","","bellzlmao","","better","basketball","player","tony","parker","objectively","greater","","","star","","","champion","finals","","","","rookie","take","resume","","regular","season","stat","padder","regresses","playoffs",""
"22","upper","deck","","","century","","jason","williams","sacramento","kings","ebay","sports","memorabilia","","","mquzhnjnma","","","","","","","","","","","","","","","",""
"23","skybox","","hoops","","duncan","","antonio","spurs","finals","","ebay","sports","memorabilia","","","ngluogghjj","","","","","","","","","","","","","","","",""
"24","","kick","tuesday","lesgooooooo","predictions","","zach","lavine","roty","cade","cunningham","","","","dpoy","lonzo","ball","","billy","donovan","","patrick","williams","","karnilegend","","","","","","",""
"25","know","","wouldn’t","unanimous","","without","timo","cruz","","","","","","","","","","","","","","","","","","","","","","","",""
"26","","predictions","season","starts","tuesday","","lakers","","joelembiid","","","award","","improved","award","jalensuggs","","rookie","year","cavs","make","playoffs","","","","","","","","","",""
"27","","predictions","","luka","doncic","","scottie","barnes","","jaren","jackson","","dploy","","adebayo","","","year","tyler","herro","","champs","miami","heat","break","player","year","precious","achiuwa","","",""
"28","","arieslakers","aint","first","option","rings","","efficient","scorer","players","","history","takes","many","shots","also","miss","shots","player","time","","need","goat","spiritually","","","lotta","flaws","","","",""
"29","prime","scottie","pippen","season","season","injury","","","weak","","strong","weak","","weak","","strong","","strong","","fringe","","weak","","","fringe","","fringe","","betta","dwade","",""
"30","prime","scottie","pippen","season","season","injury","","","weak","","strong","weak","","weak","","strong","","strong","","fringe","","weak","","","fringe","","fringe","","betta","dwade","",""
"31","gustgoated","","prime","scottie","pippen","season","season","injury","","","weak","","strong","weak","","weak","","strong","","strong","","fringe","","weak","","","fringe","","fringe","","betta","dwade"
"32","peime","scottie","pippen","season","season","injury","","","weak","","strong","weak","","weak","","strong","","strong","","fringe","","weak","","","fringe","","fringe","","better","dfraud","",""
"33","hakeembetta","prime","scottie","pippen","season","season","injury","","","weak","","strong","weak","","weak","","strong","","strong","","fringe","","weak","","","fringe","","fringe","","better","dfraud",""
"34","","predictions","champions","warriors","finals","","steph","curry","regular","season","","steph","curry","dpoy","anthony","davis","","jordan","poole","roty","moses","moody","","","year","jordan","poole","","","","",""
"35","reasons","james","harden","","","","season","","","","","sportskeeda","","nets","","","","","","","","","","","","","","","","","",""
"36","sunhornby","","fashion","","came","dress","code","dress","code","","duncan","accepting","","","jean","shorts","","","","","","","","","","","","","","","",""
"37","bakeeternal","","","","never","said","","","respect","kobe","","season","tied","jordan","points","games","straight","point","games","","","voting","","dpoy","","team","","","team","defense","gotta","give"
"38","","props","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"39","","","last","thing","giannis","","watches","challenge","","cool","","","finals","","","challenge","make","","overdo","personality.same","personality.and","just","call","people","stepup","physical","","","","","",""
"40","mtv_amandag","well","","finals","","groupie","show","giannis","","wants","show","","","","","","","","","","","","","","","","","","","","",""
"41","","","times","scoring","leader","","finals","","","","steph","","unanimous","","","almost","time","","leader","","close","","","","","","","","","","",""
"42","","still","sleep","hungover","giannis’s","","jump","shot","","fools","gold","","","best","player","","","","","years","","bucks","repeating","","","","","","","","",""
"43","","steph","better","","lebron","beast","ends","finished","second","dpoy","hater","vote","","unanimous","","","champ","finals","","near","perfect","season","","blowing","lead","finals","either","","","","",""
"44","agree","reggie","miller","luka","doncic","","","year","nbatwitter","","","","","","","","","","","","","","","","","","","","","","",""
"45","","wade","shows","finals","","wife","gabrielle","union","gives","prediction","finals","","year's","wnba","finals","","wnba","wnbatwitter","nbatwitter","","","","","","","","","","","","",""
"46","","","star","game","","tied","kobe","time","star","game","history","","","","","","","","","","","","","","","","","","","","",""
"47","","champion","","finals","","giannis","","making","preseason","debut","tonight","nbatwitter","","","","","","","","","","","","","","","","","","","",""
"48","know","giannis","became","","player","","history","","star","game","","finals","","season","guys","ever","done","kobe","bryant","shaquille","o'neal","michael","jordan","","willis","reed","","","","","",""
"49","","nation","welcoming","back","former","finals","","andre","iguodala","nbatwitter","dubnation","","","","","","","","","","","","","","","","","","","","",""
"50","","","","","least","mvps","nbatwitter","","","","","","","","","","","","","","","","","","","","","","","","",""
"51","","luka","doncic","favorite","","heading","","season","next","decade","davepasch","seems","think","nbatwitter","mffl","","","","","","","","","","","","","","","","",""
"52","poku","block","","nbatwitter","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"53","","odds","betting","preview","analyzing","lines","draftkings","sportsbook","draftkings","nation","","","","","","","","","","","","","","","","","","","","","",""
"54","","","","defensive","player","year","final","","","","champion","esquece","","","","","","","","","","","","","","","","","","","",""
"55","","","season","starts","days","fucking","wait","","gonna","much","","watch","basketball","tatum","","","gonna","happen","just","wait","","","","","","","","","","","",""
"56","","lebron","trying","","","award","","admit","publicly","lebron","stat","king","pass","kareem’s","time","","scoring","record","even","takes","bench","unit","players","supply","long","distance","shooting","","","","",""
"57","","","ready","","russell","westbrook","usual","attacking","basket","lebron","aiming","","lakers","","","","poor","point","shooting","alibi","lebron","","westbrook","saving","","","","","","","",""
"58","lebron","james","taking","step","back","laker","teammate","stat","king","lebron","aiming","","regular","season","despite","rest","team","passing","kareem’s","time","","scoring","record","","","","","","","","",""
"59","","lebron","gonna","","","lead","team","","finals","resume","","tolerate","making","","finals","even","","","","","","","","","","","","","","","",""
"60","stellarct","josheberley","natural","","version","lebron","james","","","assists","","finals","","point","guard","able","make","pointers","dribble","","","","","","","","","","","","",""
"61","nba_de","luka","wird","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"62","bolwrld","joking","winning","","","","muting","","","","","","","","","","","","","","","","","","","","","","","","",""
"63","","","shoot","didn’t","even","know","podcast","","congrats","oscar","steph","dynamic","said","oscar","russell","steph","","within","","oscar","","teams","higher","averages","across","board","steph","","rings","","tough",""
"64","","magic","shaq","quite","easily","chips","","amount","fmvp’s","saved","","","made","lakers","iconic","franchise","","","","","","","","","","","","","","","",""
"65","chips","across","decades","","finals","","time","star","time","","time","defense","overrated","planet","","","","","","","","","","","","","","","","","",""
"66","yanandbhai","","pippen","","candidate","wasn’t","","worst","foul","calls","","history","bulls","faced","pacers","conference","finals","year","also","made","conference","finals","portland","well","actually","quite","good","","","","",""
"67","james","harden","","clippers","slept","debating","","disruptors","trusted","crypto","casino","","sportsbook","","","dcwhtwavzv","","","","","","","","","","","","","","","",""
"68","unbiased","","predictions","","giannis","roty","green","dpoy","","","","coty","nate","mcmillan","","brunson","","","","","","","","","","","","","","","",""
"69","","duncan","","","fundamental","seasons","winning","record","season","made","playoffs","","","","finals","","","league","","roty","","","star","","defensive","team","career","lakers","lucky","gasol","stop","saying"
"70","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"71","","female","","twitter","rebuild","challenge","hanahoops","player","paved","","many","others","constantly","","race","","steph","curry","sixersadie","","game","already","","favorite","brings","many","viewers","","","morant","",""
"72","dallasmavs","still","looks","shape","luka","starts","looking","like","","basketball","player","mavs","training","staff","start","really","","","shape","just","imagine","dominant","needs","start","","though","jokic","boom","","","",""
"73","giannis","making","","","","another","","year","","nbatwitter","","","","","","","","","","","","","","","","","","","","","",""
"74","steph","vote","","","nbatwitter","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"75","days","till","","season","kicks","player","trivia","kawhi","leonard","first","player","","finals","","western","eastern","conference","","finals","","spurs","toronto","raptors","","clippers","raptors","spurs","","","","",""
"76","days","till","","season","kicks","player","trivia","donning","jersey","four","seasons","miami","heat","lebron","","","","finals","","season","","twice","lebronjames","lakers","","","","","","","",""
"77","","","survey","picks","year's","","tough","","","year","","","kevindurant","stephcurry","giannis","lukadoncic","joelembiid","","","","","","","","","","","","","","",""
"78","","champion","finals","","","","star","","","selections","retired","celtics","hall","famer","class","happy","birthday","paul","truth","pierce","paulpierce","","","","","","","","","","",""
"79","","year","","today","lakers","became","","champions","franchise's","","","victory","tying","time","record","celtics","lebron","james","","","title","finals","","lakeshow","","lakers","","","xccybfauwn","","",""
"80","nuevo","episodio","massiveball","","","","dark","horse","tourist","randle","","","nbatwitter","podcast","twitter","","","","","","","","","","","","","","","","",""
"81","nezzzooooo","unbiased","","award","predictions","","christian","wood","dpoy","david","nwaba","","jalen","green","","jae’sean","tate","","kevin","porter","","coty","stephen","silas","thoughts","","","","","","",""
"82","","lakers","","combined","","","","","","scoring","titles","","star","appearances","","defensive","teams","lesuperteam","","","","","","","","","","","","","",""
"83","","lakers","","combined","","","","","","scoring","titles","","star","appearances","","defensive","teams","lesuperteam","","","","","","","","","","","","","",""
"84","bazhoopz","unbiased","","award","predictions","","christian","wood","dpoy","david","nwaba","","jalen","green","","jae’sean","tate","","kevin","porter","","coty","stephen","silas","thoughts","","","","","","",""
"85","lukadonut","unbiased","","award","predictions","","christian","wood","dpoy","david","nwaba","","jalen","green","","jae’sean","tate","","kevin","porter","","coty","stephen","silas","thoughts","","","","","","",""
"86","","","lakers","","combined","","","","","","scoring","titles","","star","appearances","","defensive","teams","lesuperteam","","","","","","","","","","","","",""
"87","","unbiased","","award","predictions","","christian","wood","dpoy","david","nwaba","","jalen","green","","jae’sean","tate","","kevin","porter","","coty","stephen","silas","thoughts","","","","","","",""
"88","","lakers","","combined","","","","","","scoring","titles","","star","appearances","","defensive","teams","lesuperteam","","","","","","","","","","","","","",""
"89","unbiased","","award","predictions","","christian","wood","dpoy","david","nwaba","","jalen","green","","jae’sean","tate","","kevin","porter","","coty","stephen","silas","thoughts","","","","","","","",""
"90","unbiased","","award","predictions","","christian","wood","dpoy","david","nwaba","","jalen","green","","jae’sean","tate","","kevin","porter","","coty","stephen","silas","thoughts","","","","","","","",""
"91","","dpoy","","","","","firts","team","","","finals","","","","","","","","","","","","","","","","","","","","",""
"92","","finals","nets","","warriors:nets","finals","","kevin","durant","","","","","","","","","","","","","","","","","","","","","","",""
"93","","awards","predictions","mvp:luka","doncic","dpoy:giannis","roty:cade","cunningham","smoty:derrick","rose","","coty:steve","nash","nbatwitter","","","","","","","","","","","","","","","","","",""
"94","undíacomohoy","hace","","rick","barry","debutó","","","","","temps","","","","","","","","","","","allstar","","final","sporting","news","","","","","",""
"95","undíacomohoy","hace","","larry","bird","debutó","","","","temps","","","","","","","","","allstar","","final","veces","","sporting","news","","sporting","news","","","",""
"96","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"97","undíacomohoy","hace","","willis","reed","debutó","","","","temps","","","","","","","","","allstar","","final","","sporting","news","","","","","","","",""
"98","undíacomohoy","hace","","","unseld","debutó","","","","temps","","","","","","","","","","","final","","sporting","news","","sporting","news","","","","",""
"99","undíacomohoy","hace","","","mcadoo","debutó","","","","temps","","","","","","","","","","","","","","","sporting","news","","sporting","news","","",""
"100","","","cumple","","paul","pierce","temps","","","","","","","","","","","final","","","","djrelzwdrb","","","","","","","","","",""
"101","","","","still","wouldn’t","change","outcome","","finals","logically","look","whole","","right","bubble","lakers","clear","favorites","bron","without","","beat","buck","nets","healthy","back","back","favorite","pass","luka","",""
"102","","predictions","champions","lakers","finals","","lebron","james","regular","season","","giannis","dpoy","anthony","davis","rudy","probably","","biased","","jordan","poole","roty","jalen","green","","","year","patty","mills","probs","jordan"
"103","clarkson","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"104","","what’s","","","pick","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"105","rsandns","isiahthomas","","isiah","dumars","even","","dumars","probably","would’ve","another","","finals","found","","died","scored","game","","","","","","","","","","","","","",""
"106","","mixernitro","","isiahthomas","ballislife","","","talking","team","","nash","","","wasn’t","great","teams","","fault","","","","","","","","","","","","","",""
"107","bsweetstick","","isiahthomas","ballislife","","parker","","finals","","just","like","zeke","","like","rodman","vinnie","laimbeer","","","","","","","","","","","","","","",""
"108","isiahthomas","ballislife","","","better","nash","","","handle","","pass","better","nash","better","stockton","isiah","better","stockton","","","started","steph","knocking","","list","made","today","harden","westbrook","","",""
"109","","mixernitro","","isiahthomas","ballislife","","finals","appearances","irrelevant","overrated","","","","","","","","","","","","","","","","","","","","","",""
"110","bsweetstick","","isiahthomas","ballislife","","take","thought","process","zeke","finals","","thanks","superior","defense","","rodman","laimbeer","rodman","bruh","","believe","piston","hoops","fans","downgrading","","like","","best","defenders","ever","lace"
"111","rebounding","pretty","defend","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"112","bsweetstick","","isiahthomas","ballislife","","tony","parker","","credentials","zeke","","college","title","","many","rings","zeke","mvps","either","finals","","zeke","","parker","similar","careers","good","just","","years","","zekes"
"113","stats","great","","typical","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"114","","picks","year","roty","jalen","green","","giannis","cause","looks","like","","getting","shot","together","dpoy","anthony","davis","","jordan","clarkson","coty","mike","budenholzer","","","","","","","",""
"115","","isiahthomas","ballislife","","","duncan","bruh","","","duncan","know","","finals","","","finals","","","without","duncan","","","","","","","","","","","",""
"116","","thenicestmc","hoopssupply","","last","finals","","","talking","duncan","literally","nothing","","finals","","","","","","","","","","","","","","","","","",""
"117","aight","might","well","make","","predictions","season","expect","written","deadline","nets","suns","finals","even","","","kyrie","","dame","roty","giddey","barnes","sleeper","","dpoy","lowry","spurs","worst","team","league","",""
"118","","season","picks","","giannis","roty","josh","giddey","dpoy","matisse","thybulle","","","patty","mills","improved","kyle","kuzma","coach","billy","donovan","","","","","","","","","","",""
"119","","contenders","","","regular","season","","rookie","year","market","chengwesley","","take","closer","look","odds","year's","","awards","including","potential","value","plays","","","","","","","","",""
"120","","picks","","jalen","green","","jordan","poole","","jordan","clarkson","dpoy","giannis","","giannis","","","","","","","","","","","","","","","","",""
"121","","player","jerseys","available","future","","zach","lavine","","","","","","","","","","","","","","","","","","","","","","","",""
"122","","picks","year","disclaimer","","expert","insider","just","southeast","regional","manager","payless","shoes","","jalen","green","dpoy","anthony","davis","","","","","patty","mills","kyrie","returns","improved","nickeil","alexander","walker",""
"123","udoka","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"124","","isiahthomas","","yeah","mean","impressive","","back","back","titles","dumars","teams","","winning","","fmvp","winning","","titles","drexler","","finals","","also","","time","teammate","kobe","","","",""
"125","","","","steph","","gives","green","light","shoot","anywhere","distance","unlikely","stays","rested","","healthy","modern","","allows","exert","energy","","","getting","beat","defenders","curry’s","prob","still","star","unlikely",""
"126","","","isiahthomas","","impact","like","best","ever","defend","","reggie","never","beat","winning","","titles","finals","","reggie","zero","type","impact","take","","boss","miller","","","guys","watch","time","clutch"
"127","","","","trick","pony","dumars","complete","","","","","","","","","","","","","","","","","","","","","","","","",""
"128","frostybias","isiahthomas","","much","much","defense","star","games","titles","finals","","","make","","","team","better","passer","similar","counting","stats","","said","","toughest","ever","guard","mean","","close","miller’s","longevity"
"129","sure","nice","stats","prove","zippo","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"130","","cold","trae","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131","dude","","league","assists","","season","blocking","kareem","","hooks","like","","drop","today’s","league","","time","first","team","","three","time","","","","","","","","","",""
"132","kobe","bryant","probably","loved","player","","history","lmao","just","face","facts","","","","","fmvp","","","alone","goat","","","","","","","","","","","",""
"133","","","","","refs","need","give","help","early","often","","","","","","","","","","","","","","","","","","","","","",""
"134","yfkskylah","gladysb","gladys","","dpoty","","rings","giannis","","dpoty","","","","champion","person","syllable","name","starting","letter","","taking","","","","","","","","","","",""
"135","matbabiarz","","doncic","","poole","","donovan","roty","green","","","mills","dpoy","gobert","","finals","bucks","lakers","","","","","","","","","","","","","",""
"136","requestabet","","season","boston","celtics","wins","","giannis","","jaren","jackson","","requestabet","","","","","","","","","","","","","","","","","","",""
"137","requestabet","","season","","luka","doncic","dpoty","giannis","coty","monty","williams","requestabet","","","","","","","","","","","","","","","","","","","",""
"138","","awards","improved","player","year","deandre","ayton","sixth","","year","jordan","poole","defensive","player","year","anthony","davis","","","kevin","durant","","","chljcmmxqx","","","","","","","",""
"139","","finals","nets","","lakers","finals","","kevin","durant","","","","","","","","","","","","","","","","","","","","","","",""
"140","","nbamemes","okcthunder","mean","ever","seen","","","player","","number","seeded","team","free","agency","losing","conference","finals","reigning","","","another","","shooter","time","world","class","defenders","sure","","rings","count"
"141","cakewalks","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"142","think","chip","regular","season","","almost","lock","chips","","time","goat","","player","literally","just","entering","","prime","next","years","wild","","","thcvxbqktc","","","","","","","",""
"143","","","","candidates","everything","jumps","tuesday","shadow","league","","","stfjaqojmt","","","","","","","","","","","","","","","","","","","",""
"144","","player","intros","intro","song","happened","allstar","","","vote","list","cant","change","shoes","home","away","games","happened","history","list","previous","champions","mvps","remove","much","game","","","","","",""
"145","","","starts","wednesday","morning","australia","times","","october","","tips","champions","team","","season","","","","","","","","","","","","","","","","",""
"146","","","","starts","wednesday","morning","australia","times","","october","","tips","champions","team","","season","","","","","","","","","","","","","","","",""
"147","andrewbogut","","","starts","wednesday","morning","australia","times","","october","","tips","champions","team","","season","","","","","","","","","","","","","","","",""
"148","","","","","nbafrance","sunsfr","valley_oop","suns","booker","","","","","","","","","","","","","","","","","","","","","","",""
"149","","season","predictions","league","","giannis","dpoy","giannis","","milwaukee","","phoenix","champions","milwaukee","finals","","giannis","","erik","spoelstra","","zion","williamson","","jalen","green","","","patty","mills","","just"
"150","predictions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"151","","four","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"152","","","best","","ever","play","without","finals","","","","","","","","","","","","","","","","","","","","","","","",""
"153","","lekannis","whole","decade","best","numbers","played","","","year","","season","post","season","runs","averaging","","year","still","best","player","spurs","dynasty","decades","winning","rings","fmvp","","","","",""
"154","lakers","","that’s","thought","didn’t","also","","finals","","doesn’t","really","sound","underrated","wondering","would’ve","appropriate","","","","","","","","","","","","","","","",""
"155","year","talking","point","","nbatv","espnnba","nbaontnt","need","report","truth","year","","marketing","bullshit","gave","jokic","","","making","shit","tiebreaker","playing","games","","","","","","","","",""
"156","stephen","curry","","","","","","champion","golden","state","warriors","stanford","video","","","","","","","","","","","","","","","","","","",""
"157","stephen","curry","","","","","","champion","golden","state","warriors","stanford","video","","","","","","","","","","","","","","","","","","",""
"158","reasons","joel","embiid","dark","horse","candidate","","","season","sportskeeda","","","","","","","","","","","","","","","","","","","","","",""
"159","mcuban","","elonmusk","luka","","doncic","","","heard","first","","","","","","","","","","","","","","","","","","","","","",""
"160","nukeszn","","isiahthomas","","","curry","","","pointers","time","back","back","","","even","curry","","obvious","","","","","","","","","","","","","",""
"161","nukeszn","","isiahthomas","","mean","made","five","","teams","didn’t","","","","like","analysts","loved","much","","","","","","","","","","","","","","",""
"162","ag_nba_","staystacced","highly","doubt","","badges","coming","white","people","love","steve","nash","like","","","","","","","","","","","","","","","","","","",""
"163","shaquille","o’neal","","picture","frame","card","","fleer","upper","deck","","money","","","","ebay","","","","","","","","","","","","","","","",""
"164","shaquille","o’neal","","picture","frame","card","","fleer","upper","deck","","money","","","","","ebay","","","","","","","","","","","","","","",""
"165","","","finally","assigned","","league","improves","mentality","","","talking","","gotta","drunk","","","","","","","","","","","","","","","","","",""
"166","","","","","","fmvp","","time","defense","","star","roty","","champ","finals","never","losing","record","career","","","","","","","","","","","","",""
"167","imagine","career","","","","fmvp","","time","defense","","star","selections","roty","","champ","finals","never","losing","record","career","just","considered","","time","","","","","","","",""
"168","","predictions","","jalen","green","","","year","jordan","clarkson","improved","","reddish","dpoy","draymond","green","","steph","curry","western","conference","champs","lakers","eastern","conference","champs","nets","","champs","nets","",""
"169","","","harden’s","peak","higher","russ","","year","","disney","prince","giannis","already","","love","","","","","","","","","","","","","","","","",""
"170","staystacced","steve","nash","next","","season","","badges","come","white","people","love","steve","nash","","reason","number","","","","","","","","","","","","","","",""
"171","dansusky","vince","carter","darius","miles","","steve","nash","","season","","","","","","","","","","","","","","","","","","","","","",""
"172","rsandns","isiahthomas","","kareem","still","","","voting","sure","changes","anything","","","","","","","","","","","","","","","","","","","","",""
"173","goat__james","rjdisidoro","sure","argument","even","true","supports","lebron","winning","","","always","","heavy","league","whoever","best","players","almost","always","wins","lebron","advantage","plus","noah","boozer","missed","","games","","",""
"174","","","past","prime","","","","established","best","player","","","league","advanced","metrics","","","team","","levels","stupid","","","","","","","","","","",""
"175","rsandns","isiahthomas","","just","","names","garnett’s","numbers","dropped","immediately","boston","","went","warriors","longer","","","voting","quite","","correlation","","consider","isiah","levels","either","except","","","","",""
"176","iamstones_","imma","","","unseld","averaged","","","","","","","rookie","","","","","","","","","","","","","","","","","","",""
"177","since","preseason","games","count","anyone","ever","","preseason","","award","","","preseason","assists","back","","","preseason","title","back","back","","","","","","","","","","",""
"178","russ","league","","award","eric","russ","scoring","titles","eric","russ","","","assists","","eric","never","","","assists","russ","","guards","rebounds","years","","eric","never","","","anything","",""
"179","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"180","please","explain","","just","","","assists","barely","","actually","","","","assists","","last","","","","titles","","award","","guards","rebounds","","straight","sound","dumb","fuck","",""
"181","nyafjbslms","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"182","russ","","","assists","","last","","repeat","westbrook","","assist","crown","","last","","","guards","rebounds","","years","russ","","","titles.russ","","award","watch","basketball","","","",""
"183","","year","bledsoe","","","bledsoe","","league","assists","bledsoe","","","scoring","","record","bledsoe","","bledsoe","","never","none","westbrook","done","resume","","better","bledsoe's","","","","pitugnrkqe",""
"184","isiahthomas","","sudden","allnba","","candidate","without","much","help","sudden","","take","shots","just","making","much","","","","","","","","","","","","","","","",""
"185","","","","","moses","malone","drafted","","highschool","","round","","pick","selected","","","dispersal","draft","","","","","","","","","","","","","",""
"186","","ymenjoyer","isiahthomas","","bird","hated","","boys","incl","thomas","resume","thing","","allnba","","magic","robinson","barkley","malone","drexler","bird","ewing","stockton","","pippen","just","","","bulls","","mullen",""
"187","","isiahthomas","","basketball","resume","thomas","","","","","","","","","","","","curry","","","","","","","","","","","","","",""
"188","isiahthomas","","","jordan’s","numbers","declined","phil","jackson’s","system","still","managed","maintain","accolades","","voting","allnba","lebron","james","","declined","miami","sharing","ball","still","maintained","accolades","mvps","durant","kobe","garnett","",""
"189","","ymenjoyer","isiahthomas","","time","thomas","decline","stockton","voted","ahead","allnba","alldef","","wasn’t","larry","bird","great","","lifetime","achievement","nomination","jordan","magic","malone","bird","hated","even","daly","didn’t","push","back","selected"
"190","","ymenjoyer","isiahthomas","","magic","","","voting","","","","","","","","","","","","","","","","","","","","","","","",""
"191","","ymenjoyer","isiahthomas","","take","team","aren’t","winning","title","take","time","likely","winning","title","","league","","hill","","buddy","","","","","","","","","","","",""
"192","","ymenjoyer","isiahthomas","","mullin","next","line","","selected","last","","player","every","position","players","bird","iffy","back","selected","","even","regardless","position","drexler","","","","","","","",""
"193","","ymenjoyer","isiahthomas","","drexler","selected","last","spot","finals","","","mullin","shooter","team","already","centers","","","","","mullen","next","best","","last","spot","drexler","wasn’t","career","achievement","selection",""
"194","isiahthomas","","player","still","performed","","level","","career","lebron","correlation","","causation","relativity","maybe","prime","entire","career","","others","","","primes","","surpassed","prime","either","","validity","original","point","still"
"195","holds","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"196","","isiahthomas","","curry","never","","thomas","said","implying","carried","team","many","mvps","many","","","","caliber","seasons","","","","","","","","","","","","",""
"197","isiahthomas","","teammate","","finals","","","dumars","deserves","better","shooting","finals","year","pistons","players","dumars","","rodman","year","dumars","also","tied","","voting","","","","","","","",""
"198","ag_nba_","nbatopshot","staystacced","shaq","nash","","rookie","people","gonna","look","back","week","shaking","head","","","","","","","","","","","","","","","","","",""
"199","","","drguru_","still","wasnt","prime","","still","finishing","","","making","","first","team","","","","","","","","","","","","","","","","",""
"200","","season","just","around","corner","backing","","","","","","","","","","","","","","","","","","","","","","","","","",""
"201","","season","just","around","corner","backing","","","","","","","","","","","","","","","","","","","","","","","","","",""
"202","","season","","away","backing","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"203","","","adisney","always","injured","fell","last","year","","best","","lebron","team","definitely","","westbrick","stealing","shots","rebounds","lobs","","gets","help","","","either","rondo","washed","","","",""
"204","warriors","","without","nets","","without","never","","","round","without","","","overrated","best","player","","ever","","","","","","","","","","","","","",""
"205","","half","","preseason","performance","homie","couldn’t","","anything","feet","shots","falling","short","defensive","","looked","step","","slow","long","long","long","shot","even","make","","","team","","alone","",""
"206","kanova","braves","there’s","difference","","","","best","outstanding","player","entire","league","valuable","","","","","","","","","","","","","","","","","","",""
